symbol,date,sentiment_signal
AAPL,10/15/2012,6
AAPL,10/16/2012,2
AAPL,10/17/2012,6
AAPL,10/18/2012,6
AAPL,10/19/2012,6
AAPL,10/20/2012,6
AAPL,10/21/2012,1
MSFT,10/22/2012,6
GOOG,10/22/2012,6
AAPL,10/22/2012,-1
AAPL,10/23/2012,-3
GOOG,10/23/2012,-3
MSFT,10/23/2012,6
GOOG,10/24/2012,-1
MSFT,10/24/2012,-3
AAPL,10/24/2012,-1
MSFT,10/25/2012,6
GOOG,10/25/2012,1
AAPL,10/25/2012,-3
AAPL,10/26/2012,-1
MSFT,10/26/2012,6
GOOG,10/26/2012,4
AAPL,10/27/2012,-3
MSFT,10/27/2012,6
GOOG,10/27/2012,1
GOOG,10/28/2012,-3
MSFT,10/28/2012,2
AAPL,10/28/2012,-1
GOOG,10/29/2012,-1
MSFT,10/29/2012,6
AAPL,10/29/2012,4
AAPL,10/30/2012,-1
GOOG,10/30/2012,-3
MSFT,10/30/2012,6
GOOG,10/31/2012,-1
AAPL,10/31/2012,2
MSFT,10/31/2012,4
MSFT,11/1/2012,6
GOOG,11/1/2012,-1
AAPL,11/1/2012,-3
GOOG,11/2/2012,-1
MSFT,11/2/2012,2
AAPL,11/2/2012,6
GOOG,11/3/2012,-1
MSFT,11/3/2012,1
AAPL,11/3/2012,1
AAPL,11/4/2012,-1
GOOG,11/4/2012,2
MSFT,11/4/2012,-1
GOOG,11/5/2012,-3
AAPL,11/5/2012,6
MSFT,11/5/2012,-1
GOOG,11/6/2012,-1
AAPL,11/6/2012,5
MSFT,11/6/2012,-1
MSFT,11/7/2012,-1
AAPL,11/7/2012,4
GOOG,11/7/2012,-1
MSFT,11/8/2012,6
GOOG,11/8/2012,-1
AAPL,11/8/2012,2
AAPL,11/9/2012,3
MSFT,11/9/2012,6
GOOG,11/9/2012,2
AAPL,11/10/2012,6
MSFT,11/10/2012,2
GOOG,11/10/2012,1
GOOG,11/11/2012,1
MSFT,11/11/2012,2
AAPL,11/11/2012,1
GOOG,11/12/2012,-3
MSFT,11/12/2012,2
AAPL,11/12/2012,-1
MSFT,11/13/2012,-1
AAPL,11/13/2012,4
GOOG,11/13/2012,6
NOK,11/14/2012,2
F,11/14/2012,2
XOM,11/14/2012,6
GOOG,11/14/2012,2
T,11/14/2012,6
FB,11/14/2012,-3
BAC,11/14/2012,6
AAPL,11/14/2012,3
IBM,11/14/2012,6
MSFT,11/14/2012,-1
WMT,11/14/2012,6
GE,11/14/2012,6
IBM,11/15/2012,6
FB,11/15/2012,-1
WMT,11/15/2012,-3
BAC,11/15/2012,1
AAPL,11/15/2012,2
NOK,11/15/2012,1
T,11/15/2012,6
MSFT,11/15/2012,-3
GE,11/15/2012,2
XOM,11/15/2012,2
GOOG,11/15/2012,-1
F,11/15/2012,1
MSFT,11/16/2012,-1
AAPL,11/16/2012,-1
IBM,11/16/2012,1
NOK,11/16/2012,1
WMT,11/16/2012,-3
XOM,11/16/2012,6
FB,11/16/2012,1
T,11/16/2012,4
GOOG,11/16/2012,-3
GE,11/16/2012,2
BAC,11/16/2012,-1
F,11/16/2012,6
GOOG,11/17/2012,-1
BAC,11/17/2012,-1
NOK,11/17/2012,1
F,11/17/2012,6
MSFT,11/17/2012,-1
IBM,11/17/2012,1
GE,11/17/2012,6
WMT,11/17/2012,-1
T,11/17/2012,6
XOM,11/17/2012,6
AAPL,11/17/2012,-1
FB,11/17/2012,6
IBM,11/18/2012,1
FB,11/18/2012,4
GOOG,11/18/2012,-1
BAC,11/18/2012,-1
MSFT,11/18/2012,4
GE,11/18/2012,6
WMT,11/18/2012,-1
XOM,11/18/2012,6
T,11/18/2012,6
AAPL,11/18/2012,1
NOK,11/18/2012,1
F,11/18/2012,6
F,11/19/2012,-1
FB,11/19/2012,4
NOK,11/19/2012,1
AAPL,11/19/2012,3
IBM,11/19/2012,1
MSFT,11/19/2012,4
GE,11/19/2012,6
WMT,11/19/2012,-1
BAC,11/19/2012,6
T,11/19/2012,6
GOOG,11/19/2012,6
XOM,11/19/2012,1
AAPL,11/20/2012,-1
F,11/20/2012,4
NOK,11/20/2012,3
GE,11/20/2012,3
WMT,11/20/2012,-1
MSFT,11/20/2012,3
GOOG,11/20/2012,1
XOM,11/20/2012,1
BAC,11/20/2012,6
IBM,11/20/2012,3
FB,11/20/2012,3
T,11/20/2012,4
MSFT,11/21/2012,-3
FB,11/21/2012,2
WMT,11/21/2012,-1
NOK,11/21/2012,-3
IBM,11/21/2012,1
AAPL,11/21/2012,-1
XOM,11/21/2012,-3
F,11/21/2012,5
BAC,11/21/2012,6
GOOG,11/21/2012,-1
GE,11/21/2012,3
T,11/21/2012,1
FB,11/22/2012,6
NOK,11/22/2012,-3
MSFT,11/22/2012,-1
GOOG,11/22/2012,-1
T,11/22/2012,3
BAC,11/22/2012,6
WMT,11/22/2012,1
AAPL,11/22/2012,2
IBM,11/22/2012,2
XOM,11/22/2012,1
F,11/22/2012,6
GE,11/22/2012,3
IBM,11/23/2012,1
T,11/23/2012,3
XOM,11/23/2012,3
NOK,11/23/2012,-1
GOOG,11/23/2012,4
GE,11/23/2012,6
BAC,11/23/2012,6
WMT,11/23/2012,-3
MSFT,11/23/2012,-1
FB,11/23/2012,6
AAPL,11/23/2012,-3
F,11/23/2012,1
AAPL,11/24/2012,-1
IBM,11/24/2012,-3
XOM,11/24/2012,3
T,11/24/2012,5
WMT,11/24/2012,-1
FB,11/24/2012,4
MSFT,11/24/2012,6
BAC,11/24/2012,6
GE,11/24/2012,4
GOOG,11/24/2012,3
F,11/24/2012,1
NOK,11/24/2012,-3
BAC,11/25/2012,6
WMT,11/25/2012,-1
GE,11/25/2012,4
NOK,11/25/2012,-3
XOM,11/25/2012,3
FB,11/25/2012,1
T,11/25/2012,5
GOOG,11/25/2012,1
F,11/25/2012,2
MSFT,11/25/2012,6
IBM,11/25/2012,-3
AAPL,11/25/2012,-3
T,11/26/2012,6
F,11/26/2012,6
MSFT,11/26/2012,6
XOM,11/26/2012,6
GE,11/26/2012,4
NOK,11/26/2012,-3
GOOG,11/26/2012,5
IBM,11/26/2012,-3
FB,11/26/2012,6
AAPL,11/26/2012,6
WMT,11/26/2012,6
BAC,11/26/2012,2
NOK,11/27/2012,-3
MSFT,11/27/2012,2
XOM,11/27/2012,5
GE,11/27/2012,4
FB,11/27/2012,2
GOOG,11/27/2012,2
T,11/27/2012,6
BAC,11/27/2012,2
F,11/27/2012,6
WMT,11/27/2012,4
AAPL,11/27/2012,1
IBM,11/27/2012,-1
F,11/28/2012,2
XOM,11/28/2012,6
NOK,11/28/2012,-3
AAPL,11/28/2012,-1
WMT,11/28/2012,4
GOOG,11/28/2012,-3
T,11/28/2012,1
MSFT,11/28/2012,1
FB,11/28/2012,-1
BAC,11/28/2012,2
IBM,11/28/2012,-1
GE,11/28/2012,6
BAC,11/29/2012,3
NOK,11/29/2012,-3
WMT,11/29/2012,6
GOOG,11/29/2012,-1
XOM,11/29/2012,-1
T,11/29/2012,2
GE,11/29/2012,6
IBM,11/29/2012,-1
F,11/29/2012,1
FB,11/29/2012,6
MSFT,11/29/2012,-1
AAPL,11/29/2012,6
BAC,11/30/2012,2
NOK,11/30/2012,-1
IBM,11/30/2012,-1
F,11/30/2012,-1
GOOG,11/30/2012,4
GE,11/30/2012,-1
AAPL,11/30/2012,2
FB,11/30/2012,6
T,11/30/2012,-3
XOM,11/30/2012,1
WMT,11/30/2012,6
MSFT,11/30/2012,-1
XOM,12/1/2012,-3
GE,12/1/2012,-1
AAPL,12/1/2012,4
BAC,12/1/2012,2
F,12/1/2012,-3
IBM,12/1/2012,-1
NOK,12/1/2012,-1
T,12/1/2012,1
GOOG,12/1/2012,3
WMT,12/1/2012,6
MSFT,12/1/2012,-1
FB,12/1/2012,4
SHLD,12/2/2012,6
T,12/2/2012,3
AAPL,12/2/2012,6
BBY,12/2/2012,6
JPM,12/2/2012,6
CMG,12/2/2012,6
COST,12/2/2012,6
GE,12/2/2012,-1
TGT,12/2/2012,6
NOK,12/2/2012,-1
INTC,12/2/2012,2
WMT,12/2/2012,6
AMZN,12/2/2012,6
BAC,12/2/2012,2
SNE,12/2/2012,6
YHOO,12/2/2012,6
MSFT,12/2/2012,4
IBM,12/2/2012,-3
WFC,12/2/2012,6
BKS,12/2/2012,6
TM,12/2/2012,6
NFLX,12/2/2012,6
XOM,12/2/2012,-3
EBAY,12/2/2012,6
M,12/2/2012,6
HD,12/2/2012,6
KR,12/2/2012,6
GOOG,12/2/2012,3
GPS,12/2/2012,6
JWN,12/2/2012,6
F,12/2/2012,-1
WAG,12/2/2012,6
GS,12/2/2012,6
FB,12/2/2012,6
KSS,12/2/2012,6
KSS,12/3/2012,6
GS,12/3/2012,6
CMG,12/3/2012,6
JWN,12/3/2012,6
T,12/3/2012,3
GPS,12/3/2012,6
BBY,12/3/2012,6
M,12/3/2012,6
F,12/3/2012,-1
HD,12/3/2012,6
IBM,12/3/2012,-1
NFLX,12/3/2012,6
MSFT,12/3/2012,1
FB,12/3/2012,2
COST,12/3/2012,6
WMT,12/3/2012,4
TM,12/3/2012,6
KR,12/3/2012,6
GE,12/3/2012,1
BAC,12/3/2012,-3
TGT,12/3/2012,6
SNE,12/3/2012,6
YHOO,12/3/2012,2
GOOG,12/3/2012,3
INTC,12/3/2012,1
NOK,12/3/2012,-1
WFC,12/3/2012,6
WAG,12/3/2012,6
DELL,12/3/2012,1
SHLD,12/3/2012,6
AAPL,12/3/2012,2
XOM,12/3/2012,-3
BKS,12/3/2012,6
JPM,12/3/2012,6
EBAY,12/3/2012,6
AMZN,12/3/2012,6
TGT,12/4/2012,6
KSS,12/4/2012,6
MSFT,12/4/2012,3
YHOO,12/4/2012,6
SHLD,12/4/2012,6
TM,12/4/2012,6
WMT,12/4/2012,4
BAC,12/4/2012,-1
GS,12/4/2012,6
FB,12/4/2012,3
NFLX,12/4/2012,1
AMZN,12/4/2012,6
AAPL,12/4/2012,1
CMG,12/4/2012,6
WAG,12/4/2012,6
GE,12/4/2012,1
COST,12/4/2012,2
IBM,12/4/2012,3
KR,12/4/2012,6
GOOG,12/4/2012,6
NOK,12/4/2012,-1
F,12/4/2012,-1
DELL,12/4/2012,1
XOM,12/4/2012,3
GPS,12/4/2012,6
T,12/4/2012,-1
JPM,12/4/2012,6
M,12/4/2012,6
WFC,12/4/2012,2
BBY,12/4/2012,6
SNE,12/4/2012,6
HD,12/4/2012,2
INTC,12/4/2012,3
BKS,12/4/2012,6
JWN,12/4/2012,6
EBAY,12/4/2012,6
MSFT,12/5/2012,-1
TGT,12/5/2012,6
KSS,12/5/2012,6
M,12/5/2012,6
COST,12/5/2012,2
JWN,12/5/2012,6
GE,12/5/2012,2
NOK,12/5/2012,-1
T,12/5/2012,-1
EBAY,12/5/2012,3
YHOO,12/5/2012,-1
IBM,12/5/2012,6
F,12/5/2012,-1
NFLX,12/5/2012,-1
GPS,12/5/2012,6
AMZN,12/5/2012,6
BBY,12/5/2012,2
XOM,12/5/2012,3
AAPL,12/5/2012,-1
WAG,12/5/2012,6
BAC,12/5/2012,-1
DELL,12/5/2012,-1
KR,12/5/2012,6
INTC,12/5/2012,-3
JPM,12/5/2012,6
WMT,12/5/2012,1
TM,12/5/2012,2
FB,12/5/2012,2
HD,12/5/2012,2
SNE,12/5/2012,6
WFC,12/5/2012,3
SHLD,12/5/2012,6
GOOG,12/5/2012,1
CMG,12/5/2012,6
BKS,12/5/2012,6
GS,12/5/2012,1
ATVI,12/6/2012,6
NKE,12/6/2012,6
CIM,12/6/2012,6
BAC,12/6/2012,4
M,12/6/2012,2
DAL,12/6/2012,6
CMG,12/6/2012,6
WMT,12/6/2012,1
CVS,12/6/2012,6
SD,12/6/2012,6
BTU,12/6/2012,6
F,12/6/2012,-1
C,12/6/2012,3
JWN,12/6/2012,6
TM,12/6/2012,2
DLX,12/6/2012,6
ACOM,12/6/2012,6
AAPL,12/6/2012,-1
BMY,12/6/2012,6
ZLC,12/6/2012,6
ABT,12/6/2012,6
KO,12/6/2012,6
KR,12/6/2012,6
FCX,12/6/2012,6
YHOO,12/6/2012,1
NTRI,12/6/2012,6
AZO,12/6/2012,6
AMZN,12/6/2012,6
NOK,12/6/2012,3
ACI,12/6/2012,2
SCHW,12/6/2012,6
WFC,12/6/2012,1
FLWS,12/6/2012,6
EXPR,12/6/2012,6
VALE,12/6/2012,6
URBN,12/6/2012,6
GOOG,12/6/2012,-1
HD,12/6/2012,2
MSFT,12/6/2012,-1
WTW,12/6/2012,6
GRPN,12/6/2012,6
ZNGA,12/6/2012,6
S,12/6/2012,6
RSH,12/6/2012,6
FOSL,12/6/2012,6
DSW,12/6/2012,6
IBM,12/6/2012,6
FL,12/6/2012,6
NLY,12/6/2012,6
AMAT,12/6/2012,6
SIRI,12/6/2012,2
NXY,12/6/2012,6
CAT,12/6/2012,6
GPS,12/6/2012,2
PXP,12/6/2012,6
ANN,12/6/2012,6
SHLD,12/6/2012,6
GE,12/6/2012,1
GMCR,12/6/2012,6
JOSB,12/6/2012,6
ARNA,12/6/2012,6
XOM,12/6/2012,-1
GS,12/6/2012,1
PCCC,12/6/2012,6
BA,12/6/2012,6
JNJ,12/6/2012,6
FB,12/6/2012,6
EMC,12/6/2012,6
COST,12/6/2012,2
GME,12/6/2012,6
VITC,12/6/2012,6
SWY,12/6/2012,6
HOV,12/6/2012,6
AVP,12/6/2012,6
JPM,12/6/2012,6
CAB,12/6/2012,6
KSS,12/6/2012,6
MYL,12/6/2012,6
AMD,12/6/2012,6
TIE,12/6/2012,6
UA,12/6/2012,6
DKS,12/6/2012,6
T,12/6/2012,5
EBAY,12/6/2012,3
INTC,12/6/2012,-1
SFLY,12/6/2012,6
MDLZ,12/6/2012,6
DDS,12/6/2012,6
CMCSA,12/6/2012,6
GWW,12/6/2012,6
ORCL,12/6/2012,6
SKS,12/6/2012,6
FSLR,12/6/2012,6
SCHL,12/6/2012,6
SNE,12/6/2012,6
BKS,12/6/2012,6
MMR,12/6/2012,6
DELL,12/6/2012,-3
QCOM,12/6/2012,6
CSCO,12/6/2012,2
MCP,12/6/2012,6
VPRT,12/6/2012,6
P,12/6/2012,6
VZ,12/6/2012,6
GILD,12/6/2012,6
TXN,12/6/2012,6
PETS,12/6/2012,6
LOW,12/6/2012,6
ARO,12/6/2012,6
DIS,12/6/2012,6
NFLX,12/6/2012,-1
GES,12/6/2012,6
MGM,12/6/2012,6
AIG,12/6/2012,6
RL,12/6/2012,6
TIF,12/6/2012,6
JEF,12/6/2012,6
PFE,12/6/2012,6
WAG,12/6/2012,6
EL,12/6/2012,6
NWSA,12/6/2012,6
BBY,12/6/2012,6
AEO,12/6/2012,6
TGT,12/6/2012,2
HOTT,12/6/2012,6
NILE,12/6/2012,6
SYMC,12/6/2012,6
PETM,12/6/2012,6
COH,12/6/2012,6
JCP,12/6/2012,6
LOW,12/7/2012,6
EXPR,12/7/2012,6
P,12/7/2012,2
ARNA,12/7/2012,6
TIF,12/7/2012,6
SFLY,12/7/2012,6
PXP,12/7/2012,6
PCCC,12/7/2012,6
ACI,12/7/2012,2
SWY,12/7/2012,6
JOSB,12/7/2012,6
KSS,12/7/2012,6
GE,12/7/2012,1
YHOO,12/7/2012,3
SIRI,12/7/2012,6
T,12/7/2012,-3
MDLZ,12/7/2012,6
GPS,12/7/2012,2
EMC,12/7/2012,6
NFLX,12/7/2012,-3
JEF,12/7/2012,6
TGT,12/7/2012,1
JCP,12/7/2012,6
XOM,12/7/2012,-3
AEO,12/7/2012,6
AVP,12/7/2012,6
GILD,12/7/2012,6
HOTT,12/7/2012,6
ZLC,12/7/2012,6
SD,12/7/2012,6
FL,12/7/2012,6
AMD,12/7/2012,6
DKS,12/7/2012,6
GS,12/7/2012,1
EL,12/7/2012,6
CAB,12/7/2012,6
SYMC,12/7/2012,6
FOSL,12/7/2012,6
AZO,12/7/2012,6
PFE,12/7/2012,6
FSLR,12/7/2012,6
BMY,12/7/2012,6
BBY,12/7/2012,6
KR,12/7/2012,6
BKS,12/7/2012,6
FB,12/7/2012,-3
KO,12/7/2012,6
DSW,12/7/2012,6
F,12/7/2012,-3
IBM,12/7/2012,1
BAC,12/7/2012,5
ACOM,12/7/2012,6
AMZN,12/7/2012,1
GOOG,12/7/2012,1
TM,12/7/2012,2
RL,12/7/2012,6
BTU,12/7/2012,6
MMR,12/7/2012,6
MCP,12/7/2012,6
PETM,12/7/2012,6
CAT,12/7/2012,6
GMCR,12/7/2012,6
VITC,12/7/2012,6
ZNGA,12/7/2012,2
HD,12/7/2012,2
SCHW,12/7/2012,6
CMCSA,12/7/2012,6
DAL,12/7/2012,6
S,12/7/2012,2
EBAY,12/7/2012,4
VPRT,12/7/2012,6
NTRI,12/7/2012,6
ORCL,12/7/2012,6
JPM,12/7/2012,4
MYL,12/7/2012,6
WAG,12/7/2012,6
WMT,12/7/2012,-1
GES,12/7/2012,6
MSFT,12/7/2012,-1
VALE,12/7/2012,6
TIE,12/7/2012,6
SNE,12/7/2012,6
C,12/7/2012,3
NOK,12/7/2012,6
DIS,12/7/2012,1
ARO,12/7/2012,6
CMG,12/7/2012,6
CIM,12/7/2012,6
COH,12/7/2012,6
CSCO,12/7/2012,1
URBN,12/7/2012,6
JNJ,12/7/2012,6
QCOM,12/7/2012,6
GWW,12/7/2012,6
SCHL,12/7/2012,6
NKE,12/7/2012,6
ANN,12/7/2012,6
VZ,12/7/2012,2
DDS,12/7/2012,6
ABT,12/7/2012,6
PETS,12/7/2012,6
TXN,12/7/2012,6
BA,12/7/2012,3
WFC,12/7/2012,-3
SHLD,12/7/2012,2
CVS,12/7/2012,6
SKS,12/7/2012,6
NXY,12/7/2012,6
GME,12/7/2012,6
NLY,12/7/2012,6
INTC,12/7/2012,-1
UA,12/7/2012,6
AIG,12/7/2012,6
NWSA,12/7/2012,6
JWN,12/7/2012,2
RSH,12/7/2012,6
MGM,12/7/2012,6
DLX,12/7/2012,6
HOV,12/7/2012,6
WTW,12/7/2012,6
GRPN,12/7/2012,6
NILE,12/7/2012,6
FCX,12/7/2012,6
DELL,12/7/2012,-3
M,12/7/2012,1
COST,12/7/2012,3
AMAT,12/7/2012,6
ATVI,12/7/2012,6
AAPL,12/7/2012,-1
FLWS,12/7/2012,6
KO,12/8/2012,6
AZO,12/8/2012,6
TIE,12/8/2012,6
M,12/8/2012,3
JPM,12/8/2012,6
WFC,12/8/2012,-1
SYMC,12/8/2012,6
FOSL,12/8/2012,6
FB,12/8/2012,-3
SD,12/8/2012,6
ANN,12/8/2012,6
HOTT,12/8/2012,6
F,12/8/2012,-3
VALE,12/8/2012,6
INTC,12/8/2012,-1
DAL,12/8/2012,6
JCP,12/8/2012,6
MSFT,12/8/2012,6
AMZN,12/8/2012,2
BA,12/8/2012,3
SWY,12/8/2012,6
YHOO,12/8/2012,3
MDLZ,12/8/2012,6
EXPR,12/8/2012,6
JNJ,12/8/2012,6
ATVI,12/8/2012,6
GPS,12/8/2012,2
AMD,12/8/2012,2
AVP,12/8/2012,6
LOW,12/8/2012,6
KR,12/8/2012,6
BMY,12/8/2012,6
SIRI,12/8/2012,3
ARNA,12/8/2012,6
GMCR,12/8/2012,6
MCP,12/8/2012,6
DIS,12/8/2012,6
GWW,12/8/2012,6
HD,12/8/2012,2
NFLX,12/8/2012,-3
C,12/8/2012,3
DDS,12/8/2012,6
CIM,12/8/2012,6
MGM,12/8/2012,6
UA,12/8/2012,6
ABT,12/8/2012,6
GME,12/8/2012,6
XOM,12/8/2012,-3
SFLY,12/8/2012,6
GS,12/8/2012,1
ORCL,12/8/2012,6
AEO,12/8/2012,6
WTW,12/8/2012,2
ACI,12/8/2012,2
FSLR,12/8/2012,6
EL,12/8/2012,6
URBN,12/8/2012,6
NWSA,12/8/2012,6
FL,12/8/2012,6
NILE,12/8/2012,6
TM,12/8/2012,2
AMAT,12/8/2012,6
KSS,12/8/2012,6
EBAY,12/8/2012,1
DSW,12/8/2012,6
PFE,12/8/2012,2
COST,12/8/2012,1
CVS,12/8/2012,6
JWN,12/8/2012,2
TIF,12/8/2012,6
RSH,12/8/2012,6
PETS,12/8/2012,6
COH,12/8/2012,6
VZ,12/8/2012,2
MYL,12/8/2012,6
PXP,12/8/2012,6
TGT,12/8/2012,1
S,12/8/2012,2
CSCO,12/8/2012,1
NKE,12/8/2012,6
WMT,12/8/2012,-1
CAB,12/8/2012,6
BBY,12/8/2012,6
ZNGA,12/8/2012,2
GE,12/8/2012,-3
PCCC,12/8/2012,6
NTRI,12/8/2012,6
TXN,12/8/2012,6
MMR,12/8/2012,6
SHLD,12/8/2012,2
VPRT,12/8/2012,6
BAC,12/8/2012,5
FLWS,12/8/2012,6
ARO,12/8/2012,6
BKS,12/8/2012,2
NXY,12/8/2012,2
VITC,12/8/2012,6
AIG,12/8/2012,2
GOOG,12/8/2012,-3
P,12/8/2012,2
CMG,12/8/2012,6
PETM,12/8/2012,6
DKS,12/8/2012,6
SNE,12/8/2012,6
GRPN,12/8/2012,2
JEF,12/8/2012,6
T,12/8/2012,-1
AAPL,12/8/2012,2
GES,12/8/2012,6
CAT,12/8/2012,6
DLX,12/8/2012,6
GILD,12/8/2012,6
JOSB,12/8/2012,6
RL,12/8/2012,6
WAG,12/8/2012,6
HOV,12/8/2012,6
IBM,12/8/2012,2
DELL,12/8/2012,-1
FCX,12/8/2012,6
SCHW,12/8/2012,6
QCOM,12/8/2012,6
NOK,12/8/2012,6
ZLC,12/8/2012,6
SCHL,12/8/2012,6
NLY,12/8/2012,6
CMCSA,12/8/2012,6
SKS,12/8/2012,6
EMC,12/8/2012,6
ACOM,12/8/2012,6
BTU,12/8/2012,6
ARNA,12/9/2012,6
JOSB,12/9/2012,6
VITC,12/9/2012,6
TIF,12/9/2012,6
ATVI,12/9/2012,6
DDS,12/9/2012,6
SKS,12/9/2012,6
MMR,12/9/2012,6
MCP,12/9/2012,6
HOTT,12/9/2012,6
SIRI,12/9/2012,6
GPS,12/9/2012,2
CMG,12/9/2012,6
P,12/9/2012,6
CIM,12/9/2012,6
MYL,12/9/2012,6
T,12/9/2012,-1
AMZN,12/9/2012,2
PFE,12/9/2012,2
TXN,12/9/2012,6
BKS,12/9/2012,2
JPM,12/9/2012,6
UA,12/9/2012,6
PXP,12/9/2012,6
SYMC,12/9/2012,6
NFLX,12/9/2012,-3
ZLC,12/9/2012,6
NKE,12/9/2012,6
VPRT,12/9/2012,6
YHOO,12/9/2012,3
AVP,12/9/2012,6
PETS,12/9/2012,6
GWW,12/9/2012,6
FCX,12/9/2012,6
BTU,12/9/2012,6
BBY,12/9/2012,6
GES,12/9/2012,6
EL,12/9/2012,6
ARO,12/9/2012,6
URBN,12/9/2012,6
INTC,12/9/2012,-1
DLX,12/9/2012,6
SD,12/9/2012,2
FL,12/9/2012,6
JWN,12/9/2012,2
NLY,12/9/2012,6
ORCL,12/9/2012,6
EMC,12/9/2012,6
RL,12/9/2012,6
JNJ,12/9/2012,6
FOSL,12/9/2012,6
C,12/9/2012,6
NTRI,12/9/2012,6
S,12/9/2012,2
HOV,12/9/2012,6
SWY,12/9/2012,6
FSLR,12/9/2012,6
F,12/9/2012,-1
NILE,12/9/2012,6
CMCSA,12/9/2012,6
KR,12/9/2012,6
TM,12/9/2012,1
AMD,12/9/2012,2
SFLY,12/9/2012,6
AEO,12/9/2012,6
TIE,12/9/2012,6
AAPL,12/9/2012,3
FB,12/9/2012,-1
AIG,12/9/2012,2
CSCO,12/9/2012,1
MDLZ,12/9/2012,6
GOOG,12/9/2012,-3
BAC,12/9/2012,2
NWSA,12/9/2012,6
EXPR,12/9/2012,6
ANN,12/9/2012,6
FLWS,12/9/2012,6
CAB,12/9/2012,6
KSS,12/9/2012,6
BMY,12/9/2012,6
VALE,12/9/2012,6
TGT,12/9/2012,1
CAT,12/9/2012,6
DAL,12/9/2012,2
GMCR,12/9/2012,6
GS,12/9/2012,1
XOM,12/9/2012,-3
QCOM,12/9/2012,6
ABT,12/9/2012,6
CVS,12/9/2012,6
GE,12/9/2012,-3
SHLD,12/9/2012,2
HD,12/9/2012,2
DSW,12/9/2012,6
AZO,12/9/2012,6
VZ,12/9/2012,2
EBAY,12/9/2012,1
COST,12/9/2012,1
JEF,12/9/2012,6
IBM,12/9/2012,1
GILD,12/9/2012,6
SCHL,12/9/2012,6
M,12/9/2012,3
MGM,12/9/2012,6
ACI,12/9/2012,2
GME,12/9/2012,6
WAG,12/9/2012,6
WFC,12/9/2012,-3
NXY,12/9/2012,2
NOK,12/9/2012,6
SCHW,12/9/2012,6
WTW,12/9/2012,2
SNE,12/9/2012,2
JCP,12/9/2012,6
KO,12/9/2012,6
PETM,12/9/2012,6
WMT,12/9/2012,-1
DELL,12/9/2012,-1
BA,12/9/2012,1
LOW,12/9/2012,6
ACOM,12/9/2012,6
PCCC,12/9/2012,6
COH,12/9/2012,6
DIS,12/9/2012,6
AMAT,12/9/2012,6
RSH,12/9/2012,6
GRPN,12/9/2012,2
DKS,12/9/2012,6
ZNGA,12/9/2012,2
MSFT,12/9/2012,6
P,12/10/2012,6
CVS,12/10/2012,6
AVP,12/10/2012,6
GS,12/10/2012,-3
JOSB,12/10/2012,6
JEF,12/10/2012,6
MSFT,12/10/2012,1
MDLZ,12/10/2012,6
NXY,12/10/2012,6
CIM,12/10/2012,6
ARO,12/10/2012,6
SIRI,12/10/2012,6
AIG,12/10/2012,1
DKS,12/10/2012,6
FL,12/10/2012,6
SD,12/10/2012,2
SHLD,12/10/2012,2
ZLC,12/10/2012,6
DLX,12/10/2012,6
TIE,12/10/2012,6
DSW,12/10/2012,6
C,12/10/2012,4
GRPN,12/10/2012,2
FSLR,12/10/2012,6
AEO,12/10/2012,6
TM,12/10/2012,1
SFLY,12/10/2012,6
S,12/10/2012,2
RL,12/10/2012,6
XOM,12/10/2012,-3
SCHL,12/10/2012,6
SKS,12/10/2012,6
ANN,12/10/2012,6
MCP,12/10/2012,6
SCHW,12/10/2012,6
FCX,12/10/2012,6
VZ,12/10/2012,6
KO,12/10/2012,6
ARNA,12/10/2012,6
TXN,12/10/2012,6
PFE,12/10/2012,2
URBN,12/10/2012,6
COH,12/10/2012,6
BA,12/10/2012,1
KR,12/10/2012,6
AZO,12/10/2012,6
SYMC,12/10/2012,6
INTC,12/10/2012,-1
CMG,12/10/2012,2
AMAT,12/10/2012,6
KSS,12/10/2012,6
YHOO,12/10/2012,6
ATVI,12/10/2012,6
UA,12/10/2012,6
DIS,12/10/2012,1
BTU,12/10/2012,6
GES,12/10/2012,6
BKS,12/10/2012,2
BAC,12/10/2012,2
GMCR,12/10/2012,6
EXPR,12/10/2012,6
ZNGA,12/10/2012,2
TGT,12/10/2012,1
DDS,12/10/2012,6
EL,12/10/2012,6
FB,12/10/2012,-1
NILE,12/10/2012,6
CMCSA,12/10/2012,6
CAB,12/10/2012,6
EBAY,12/10/2012,6
FOSL,12/10/2012,6
DELL,12/10/2012,-1
WFC,12/10/2012,-1
PETS,12/10/2012,6
MMR,12/10/2012,6
COST,12/10/2012,1
AMD,12/10/2012,2
BBY,12/10/2012,1
NLY,12/10/2012,6
HOTT,12/10/2012,6
TIF,12/10/2012,6
NKE,12/10/2012,2
WMT,12/10/2012,-1
NOK,12/10/2012,6
FLWS,12/10/2012,6
M,12/10/2012,3
PETM,12/10/2012,6
ACI,12/10/2012,2
GME,12/10/2012,6
F,12/10/2012,-1
JNJ,12/10/2012,2
HD,12/10/2012,2
GILD,12/10/2012,6
GOOG,12/10/2012,-1
WTW,12/10/2012,2
BMY,12/10/2012,6
CAT,12/10/2012,6
NFLX,12/10/2012,-1
NTRI,12/10/2012,6
GPS,12/10/2012,2
SWY,12/10/2012,6
NWSA,12/10/2012,6
SNE,12/10/2012,2
